ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
1,0.0,V1,V3,59.0,1,27,V3,V3,V5,yes,7418,7418,,1,V3,V3,4085,V2,0.0,V2,1,T,F,V3,,1.0,V2,59,36734,V1,1.0,V2,V1
2,0.0,V4,V5,18.0,4,42,V7,V3,V5,yes,2898,2898,,1,V3,V3,5715,V2,0.0,V2,4,T,F,V3,,1.0,V3,18,49442,V1,2.0,V2,V1
3,0.0,V4,V2,23.0,2,28,V3,V2,V2,yes,2895,2895,,1,V2,V3,6194,V2,0.0,V2,1,T,F,V3,,1.0,V3,23,60773,V1,1.0,V2,V1
4,0.0,V4,V3,10.0,4,40,V7,V4,V4,yes,1322,1322,,2,V4,V2,6615,V2,0.0,V2,4,T,F,V3,,1.0,V3,10,21595,V1,1.0,V2,V1
5,0.0,V1,V3,5.0,3,29,V3,V2,V1,yes,518,518,,1,V2,V2,3297,V4,0.0,V4,1,T,F,V3,,1.0,V3,5,52357,V1,1.0,V2,V1
6,0.0,V4,V2,20.0,4,28,V3,V2,V4,yes,3357,3357,,1,V2,V2,6188,V1,0.0,V1,2,T,F,V1,,1.0,V3,20,56863,V1,1.0,V2,V1
7,1.0,V4,V2,23.0,3,27,V1,V2,V3,yes,4112,4112,,1,V2,V2,4949,V2,0.0,V2,4,T,F,V3,,1.0,V3,23,10613,V1,1.0,V1,V1
8,0.0,V4,V5,21.0,3,39,V3,V2,V3,yes,2674,2674,,1,V2,V3,3458,V4,0.0,V4,4,T,F,V3,,1.0,V3,21,40695,V1,1.0,V2,V1
9,0.0,V2,V4,11.0,3,35,V2,V4,V4,no,1592,1592,,1,V4,V2,2970,V4,0.0,V4,2,T,F,V3,,1.0,V3,11,126874,V1,1.0,V2,V1
10,0.0,V1,V3,23.0,3,73,V9,V4,V1,yes,4526,4526,,1,V4,V3,4556,V4,0.0,V4,2,T,F,V3,,1.0,V4,23,2227,V1,1.0,V2,V2
11,0.0,V1,V3,10.0,1,40,V7,V4,V1,yes,3939,3939,,2,V4,V3,3405,V1,0.0,V1,2,T,F,V3,,1.0,V2,10,125205,V1,2.0,V2,V1
12,0.0,V1,V5,12.0,3,55,V2,V2,V5,yes,1424,1424,,1,V2,V2,4698,V3,0.0,V3,4,T,F,V3,,1.0,V4,12,11145,V1,1.0,V2,V2
13,1.0,V3,V5,36.0,3,47,V1,V2,V5,yes,8334,8334,,1,V2,V3,5185,V1,0.0,V1,4,T,F,V3,,1.0,V3,36,26379,V1,1.0,V3,V1
14,0.0,V1,V3,24.0,2,23,V2,V2,V1,yes,3020,3020,,1,V2,V1,6709,V1,0.0,V1,2,T,F,V3,,1.0,V2,24,3647,V1,1.0,V1,V1
15,1.0,V1,V4,38.0,2,25,V3,V4,V1,yes,4932,4932,,2,V4,V3,6483,V2,0.0,V2,2,T,F,V3,,1.0,V3,38,6429,V3,1.0,V2,V1
16,0.0,V2,V2,23.0,1,30,V2,V2,V5,no,7720,7720,,1,V2,V2,7212,V1,0.0,V1,2,T,F,V3,,1.0,V3,23,39744,V1,1.0,V2,V2
17,0.0,V4,V2,24.0,4,37,V7,V4,V2,yes,3878,3878,,1,V4,V1,6724,V2,0.0,V2,2,T,F,V3,,1.0,V3,24,63585,V1,1.0,V2,V2
18,1.0,V4,V5,11.0,4,40,V7,V2,V1,yes,887,887,,1,V2,V3,4883,V2,0.0,V2,4,T,F,V1,,1.0,V2,11,13116,V1,2.0,V2,V1
19,1.0,V4,V3,23.0,1,23,V1,V2,V1,yes,11560,11560,,2,V2,V2,4761,V2,0.0,V2,4,T,F,V3,,1.0,V4,23,77622,V1,1.0,V1,V1
20,0.0,V4,V4,12.0,4,50,V7,V4,V2,yes,682,682,,2,V4,V2,4971,V4,0.0,V4,3,T,F,V3,,1.0,V3,12,22993,V1,1.0,V2,V2
21,0.0,V4,V4,21.0,3,31,V2,V4,V4,yes,2744,2744,,2,V4,V3,5083,V2,0.0,V2,2,T,F,V3,,1.0,V3,21,91408,V1,1.0,V2,V2
22,1.0,V4,V5,21.0,4,61,V9,V2,V2,yes,2766,2766,,2,V2,V1,4521,V2,0.0,V2,2,T,F,V1,,1.0,V2,21,4518,V1,1.0,V1,V1
23,1.0,V4,V1,17.0,4,25,V2,V2,V1,yes,2472,2472,,1,V2,V3,4050,V1,0.0,V1,1,T,F,V3,,1.0,V1,17,54503,V1,1.0,V2,V1
24,0.0,V4,V5,20.0,3,30,V1,V5,V2,yes,6147,6147,,2,V5,V4,5758,V2,0.0,V2,4,T,F,V1,,1.0,V3,20,23668,V1,1.0,V2,V2
25,0.0,V1,V3,41.0,4,35,V2,V4,V3,yes,4042,4042,,2,V4,V3,4825,V4,0.0,V4,4,T,F,V3,,1.0,V3,41,38074,V1,1.0,V2,V2
26,0.0,V3,V3,15.0,4,27,V2,V4,V1,yes,3342,3342,,1,V4,V3,5983,V4,0.0,V4,2,T,F,V3,,1.0,V3,15,85938,V1,1.0,V3,V2
